MESA,INSCRITOS,ASISTENCIA,VOTOS VALIDOS,VOTOS BLANCOS ,VOTOS NULOS,VOTOS EMITIDOS,% VOTOS VALIDOS,% VOTOS BLANCOS ,% VOTOS NULOS,% VOTOS EMITIDOS,RECINTO,ZONA,DISTRITO,CIRCUNSCRIPCION
5,191,61,67,6,8,81,35.08%,3.14%,4.19%,42.41%,Col. Daniel Sanchez Bustamante,VILLA_NUEVO_POTOSI,DISTRITO_24,8
6,113,35,30,1,4,35,26.55%,0.88%,3.54%,30.97%,Col. Daniel Sanchez Bustamante,VILLA_NUEVO_POTOSI,DISTRITO_24,8
3,156,66,60,0,6,66,38.46%,0.00%,3.85%,42.31%,Esc. Francisco De Miranda,BELLA_VISTA,DISTRITO_16,7
4,185,72,67,2,6,75,36.22%,1.08%,3.24%,40.54%,Col. Daniel Sanchez Bustamante,VILLA_NUEVO_POTOSI,DISTRITO_24,8
4,175,61,55,1,6,62,31.43%,0.57%,3.43%,35.43%,Esc. Francisco De Miranda,BELLA_VISTA,DISTRITO_16,7
1,123,42,30,0,0,30,24.39%,0.00%,0.00%,24.39%,Instituto Domingo Savio,KOANI,DISTRITO_11,7
2,167,0,67,2,5,74,40.12%,1.20%,2.99%,44.31%,Esc. Francisco De Miranda,BELLA_VISTA,DISTRITO_16,7
2,51,22,14,2,6,22,27.45%,3.92%,11.76%,43.14%,Instituto Domingo Savio,KOANI,DISTRITO_11,7
1,196,0,63,3,9,75,32.14%,1.53%,4.59%,38.27%,Col. Guillen Pinto,MUNAYPATA,DISTRITO_28,9
5,69,25,23,2,0,25,33.33%,2.90%,0.00%,36.23%,Col. Guillen Pinto,MUNAYPATA,DISTRITO_28,9
2,190,0,65,2,9,76,34.21%,1.05%,4.74%,40.00%,Col. Guillen Pinto,MUNAYPATA,DISTRITO_28,9
2,60,28,25,0,3,28,41.67%,0.00%,5.00%,46.67%,Col. Luis Velasco Flores,PANTICIRCA,DISTRITO_30,9
3,184,10,54,5,2,61,29.35%,2.72%,1.09%,33.15%,Col. Guillen Pinto,MUNAYPATA,DISTRITO_28,9
1,172,63,58,3,2,63,33.72%,1.74%,1.16%,36.63%,Kinder Bolivia,CIUDADELA_FERROVIARIA,DISTRITO_30,9
4,203,82,77,3,6,86,37.93%,1.48%,2.96%,42.36%,Col. Guillen Pinto,MUNAYPATA,DISTRITO_28,9
2,182,80,72,1,7,80,39.56%,0.55%,3.85%,43.96%,Kinder Bolivia,CIUDADELA_FERROVIARIA,DISTRITO_30,9
1,208,94,87,2,5,94,41.83%,0.96%,2.40%,45.19%,Col. Luis Velasco Flores,PANTICIRCA,DISTRITO_30,9
1,168,75,67,1,10,78,39.88%,0.60%,5.95%,46.43%,Kinder Flora Perez De Saavedra,LA_ZARZUELA,DISTRITO_2,9
2,86,38,30,1,7,38,34.88%,1.16%,8.14%,44.19%,Kinder Flora Perez De Saavedra,LA_ZARZUELA,DISTRITO_2,9
1,188,72,69,2,1,72,36.70%,1.06%,0.53%,38.30%,Colegio Don Bosco,PAMPAHASI_BAJO,DISTRITO_9,7
2,198,81,67,2,15,84,33.84%,1.01%,7.58%,42.42%,Colegio Don Bosco,PAMPAHASI_BAJO,DISTRITO_9,7
3,180,81,71,4,6,81,39.44%,2.22%,3.33%,45.00%,Colegio Don Bosco,PAMPAHASI_BAJO,DISTRITO_9,7
4,193,77,67,7,3,77,34.72%,3.63%,1.55%,39.90%,Colegio Don Bosco,PAMPAHASI_BAJO,DISTRITO_9,7
1,121,46,43,1,2,46,35.54%,0.83%,1.65%,38.02%,Escuela Santa Rosa La Florida,CALACOTO_LA_FLORIDA,DISTRITO_12,7
5,78,35,27,1,7,35,34.62%,1.28%,8.97%,44.87%,Colegio Don Bosco,PAMPAHASI_BAJO,DISTRITO_9,7
1,169,79,70,2,9,81,41.42%,1.18%,5.33%,47.93%,Col. San Javier,PURA_PURA,DISTRITO_29,9
2,128,50,43,1,6,50,33.59%,0.78%,4.69%,39.06%,Escuela Santa Rosa La Florida,CALACOTO_LA_FLORIDA,DISTRITO_12,7
3,74,36,34,2,0,36,45.95%,2.70%,0.00%,48.65%,Escuela Santa Rosa La Florida,CALACOTO_LA_FLORIDA,DISTRITO_12,7
1,164,0,50,1,7,58,30.49%,0.61%,4.27%,35.37%,Esc. Club De Leones (Bajo Mariscal),BAJO_MARISCAL_SANTA_CRUZ,DISTRITO_26,9
2,182,77,71,1,9,81,39.01%,0.55%,4.95%,44.51%,Col. San Javier,PURA_PURA,DISTRITO_29,9
2,109,0,33,0,5,38,30.28%,0.00%,4.59%,34.86%,Esc. Club De Leones (Bajo Mariscal),BAJO_MARISCAL_SANTA_CRUZ,DISTRITO_26,9
1,176,71,67,5,4,76,38.07%,2.84%,2.27%,43.18%,Escuela Chasquipampa,CHASQUIPAMPA,DISTRITO_14,7
2,174,47,67,3,1,71,38.51%,1.72%,0.57%,40.80%,Escuela Chasquipampa,CHASQUIPAMPA,DISTRITO_14,7
5,165,54,64,1,1,66,38.79%,0.61%,0.61%,40.00%,Escuela Chasquipampa,CHASQUIPAMPA,DISTRITO_14,7
3,200,57,64,0,8,72,32.00%,0.00%,4.00%,36.00%,Escuela Chasquipampa,CHASQUIPAMPA,DISTRITO_14,7
4,150,59,63,2,2,67,42.00%,1.33%,1.33%,44.67%,Escuela Chasquipampa,CHASQUIPAMPA,DISTRITO_14,7
8,198,52,77,1,2,80,38.89%,0.51%,1.01%,40.40%,Escuela Chasquipampa,CHASQUIPAMPA,DISTRITO_14,7
6,188,68,60,2,6,68,31.91%,1.06%,3.19%,36.17%,Escuela Chasquipampa,CHASQUIPAMPA,DISTRITO_14,7
9,165,59,59,5,3,67,35.76%,3.03%,1.82%,40.61%,Escuela Chasquipampa,CHASQUIPAMPA,DISTRITO_14,7
7,160,65,64,2,0,66,40.00%,1.25%,0.00%,41.25%,Escuela Chasquipampa,CHASQUIPAMPA,DISTRITO_14,7
10,186,65,60,4,4,68,32.26%,2.15%,2.15%,36.56%,Escuela Chasquipampa,CHASQUIPAMPA,DISTRITO_14,7
11,29,14,14,0,0,14,48.28%,0.00%,0.00%,48.28%,Escuela Chasquipampa,CHASQUIPAMPA,DISTRITO_14,7
1,170,0,61,2,3,66,35.88%,1.18%,1.76%,38.82%,Col. Luis Espinal Camps,PASANKERI,DISTRITO_19,8
2,171,0,52,2,7,61,30.41%,1.17%,4.09%,35.67%,Col. Luis Espinal Camps,PASANKERI,DISTRITO_19,8
3,183,0,65,4,7,76,35.52%,2.19%,3.83%,41.53%,Col. Luis Espinal Camps,PASANKERI,DISTRITO_19,8
2,165,0,49,4,2,55,29.70%,2.42%,1.21%,33.33%,Esc. Ladislao Cabrera,OBISPO_INDABURO,DISTRITO_23,8
5,174,0,62,1,7,70,35.63%,0.57%,4.02%,40.23%,Col. Luis Espinal Camps,PASANKERI,DISTRITO_19,8
5,64,0,21,0,3,24,32.81%,0.00%,4.69%,37.50%,Esc. Ladislao Cabrera,OBISPO_INDABURO,DISTRITO_23,8
3,189,0,67,2,6,75,35.45%,1.06%,3.17%,39.68%,Esc. Ladislao Cabrera,OBISPO_INDABURO,DISTRITO_23,8
4,185,0,60,0,6,66,32.43%,0.00%,3.24%,35.68%,Col. Luis Espinal Camps,PASANKERI,DISTRITO_19,8
7,145,0,49,0,3,52,33.79%,0.00%,2.07%,35.86%,Col. Luis Espinal Camps,PASANKERI,DISTRITO_19,8
1,180,0,67,4,2,73,37.22%,2.22%,1.11%,40.56%,Esc. Ladislao Cabrera,OBISPO_INDABURO,DISTRITO_23,8
6,190,0,48,3,4,55,25.26%,1.58%,2.11%,28.95%,Col. Luis Espinal Camps,PASANKERI,DISTRITO_19,8
4,172,0,45,4,17,66,26.16%,2.33%,9.88%,38.37%,Esc. Ladislao Cabrera,OBISPO_INDABURO,DISTRITO_23,8
1,192,75,71,0,3,74,36.98%,0.00%,1.56%,38.54%,Esc. Nicolas  Fernandez Naranjo,VINO_TINTO,DISTRITO_2,9
3,172,57,61,0,3,64,35.47%,0.00%,1.74%,37.21%,Esc. Nicolas  Fernandez Naranjo,VINO_TINTO,DISTRITO_2,9
2,171,51,59,2,3,64,34.50%,1.17%,1.75%,37.43%,Esc. Nicolas  Fernandez Naranjo,VINO_TINTO,DISTRITO_2,9
2,129,46,39,4,3,46,30.23%,3.10%,2.33%,35.66%,Liceo Tec. H. Nuestra Sra. De La Paz,ZONA_NORTE,DISTRITO_3,9
4,182,64,62,2,2,66,34.07%,1.10%,1.10%,36.26%,Esc. Nicolas  Fernandez Naranjo,VINO_TINTO,DISTRITO_2,9
6,178,44,52,1,7,60,29.21%,0.56%,3.93%,33.71%,Esc. Nicolas  Fernandez Naranjo,VINO_TINTO,DISTRITO_2,9
1,166,67,53,1,12,66,31.93%,0.60%,7.23%,39.76%,Liceo Tec. H. Nuestra Sra. De La Paz,ZONA_NORTE,DISTRITO_3,9
7,177,82,71,1,10,82,40.11%,0.56%,5.65%,46.33%,Esc. Nicolas  Fernandez Naranjo,VINO_TINTO,DISTRITO_2,9
8,141,37,49,3,3,55,34.75%,2.13%,2.13%,39.01%,Esc. Nicolas  Fernandez Naranjo,VINO_TINTO,DISTRITO_2,9
5,191,65,63,2,4,69,32.98%,1.05%,2.09%,36.13%,Esc. Nicolas  Fernandez Naranjo,VINO_TINTO,DISTRITO_2,9
1,178,74,58,4,12,74,32.58%,2.25%,6.74%,41.57%,Sede Social Plan Autopista,ALTO_ACHACHICALA,DISTRITO_1,9
1,174,0,63,3,3,69,36.21%,1.72%,1.72%,39.66%,Esc. Remberto Tapia,VILLA_NUEVO_POTOSI,DISTRITO_24,8
2,181,0,60,1,4,65,33.15%,0.55%,2.21%,35.91%,Esc. Remberto Tapia,VILLA_NUEVO_POTOSI,DISTRITO_24,8
1,135,65,49,5,12,66,36.30%,3.70%,8.89%,48.89%,Col. Cervantes,MIRAFLORES,DISTRITO_4,6
2,118,55,47,2,6,55,39.83%,1.69%,5.08%,46.61%,Sede Social Plan Autopista,ALTO_ACHACHICALA,DISTRITO_1,9
2,160,81,58,6,19,83,36.25%,3.75%,11.88%,51.88%,Col. Cervantes,MIRAFLORES,DISTRITO_4,6
1,181,63,54,1,8,63,29.83%,0.55%,4.42%,34.81%,Colegio Italia (Alto Mariscal),ALTO_MARISCAL_SANTA_CRUZ,DISTRITO_25,9
3,184,0,68,1,9,78,36.96%,0.54%,4.89%,42.39%,Esc. Remberto Tapia,VILLA_NUEVO_POTOSI,DISTRITO_24,8
4,214,0,80,2,4,86,37.38%,0.93%,1.87%,40.19%,Esc. Remberto Tapia,VILLA_NUEVO_POTOSI,DISTRITO_24,8
2,171,64,63,1,2,66,36.84%,0.58%,1.17%,38.60%,Colegio Italia (Alto Mariscal),ALTO_MARISCAL_SANTA_CRUZ,DISTRITO_25,9
3,200,82,76,1,11,88,38.00%,0.50%,5.50%,44.00%,Colegio Italia (Alto Mariscal),ALTO_MARISCAL_SANTA_CRUZ,DISTRITO_25,9
4,52,0,19,1,1,21,36.54%,1.92%,1.92%,40.38%,Esc. Jose Santos,LLOJETA_ALTO,DISTRITO_18,8
1,187,60,51,3,6,60,27.27%,1.60%,3.21%,32.09%,Esc. Jose Santos,LLOJETA_ALTO,DISTRITO_18,8
2,180,46,49,3,4,56,27.22%,1.67%,2.22%,31.11%,Esc. Jose Santos,LLOJETA_ALTO,DISTRITO_18,8
1,209,79,67,3,9,79,32.06%,1.44%,4.31%,37.80%,Colegio Jerusalem,PAMPAHASI_BAJO,DISTRITO_9,7
3,195,74,61,5,8,74,31.28%,2.56%,4.10%,37.95%,Esc. Jose Santos,LLOJETA_ALTO,DISTRITO_18,8
2,192,69,64,0,9,73,33.33%,0.00%,4.69%,38.02%,Colegio Jerusalem,PAMPAHASI_BAJO,DISTRITO_9,7
2,161,0,45,4,9,58,27.95%,2.48%,5.59%,36.02%,Unidad Educativa Carlos Medinacelli,TEMBLADERANI20,DISTRITO_20,8
3,209,107,81,2,7,90,38.76%,0.96%,3.35%,43.06%,Colegio Jerusalem,PAMPAHASI_BAJO,DISTRITO_9,7
1,164,0,58,2,7,67,35.37%,1.22%,4.27%,40.85%,Unidad Educativa Carlos Medinacelli,TEMBLADERANI20,DISTRITO_20,8
4,164,64,52,2,10,64,31.71%,1.22%,6.10%,39.02%,Unidad Educativa Carlos Medinacelli,TEMBLADERANI20,DISTRITO_20,8
3,165,49,48,1,8,57,29.09%,0.61%,4.85%,34.55%,Unidad Educativa Carlos Medinacelli,TEMBLADERANI20,DISTRITO_20,8
5,48,0,22,1,3,26,45.83%,2.08%,6.25%,54.17%,Unidad Educativa Carlos Medinacelli,TEMBLADERANI20,DISTRITO_20,8
1,175,58,54,1,4,59,30.86%,0.57%,2.29%,33.71%,Col. Sergio Almaraz,SAN_ANTONIO_BAJO,DISTRITO_8,6
5,37,14,14,0,0,14,37.84%,0.00%,0.00%,37.84%,Col. Sergio Almaraz,SAN_ANTONIO_BAJO,DISTRITO_8,6
6,90,38,34,0,4,38,37.78%,0.00%,4.44%,42.22%,Col. Franz Tamayo,VILLA_VICTORIA,DISTRITO_28,9
3,168,74,63,6,5,74,37.50%,3.57%,2.98%,44.05%,Col. Franz Tamayo,VILLA_VICTORIA,DISTRITO_28,9
2,171,1,54,6,5,65,31.58%,3.51%,2.92%,38.01%,Col. Sergio Almaraz,SAN_ANTONIO_BAJO,DISTRITO_8,6
4,198,82,68,8,6,82,34.34%,4.04%,3.03%,41.41%,Col. Sergio Almaraz,SAN_ANTONIO_BAJO,DISTRITO_8,6
3,167,51,54,4,8,66,32.34%,2.40%,4.79%,39.52%,Col. Sergio Almaraz,SAN_ANTONIO_BAJO,DISTRITO_8,6
4,168,70,61,3,6,70,36.31%,1.79%,3.57%,41.67%,Col. Franz Tamayo,VILLA_VICTORIA,DISTRITO_28,9
2,201,75,69,2,4,75,34.33%,1.00%,1.99%,37.31%,Col. Franz Tamayo,VILLA_VICTORIA,DISTRITO_28,9
1,176,71,66,1,4,71,37.50%,0.57%,2.27%,40.34%,Col. Franz Tamayo,VILLA_VICTORIA,DISTRITO_28,9
5,181,68,57,2,9,68,31.49%,1.10%,4.97%,37.57%,Col. Franz Tamayo,VILLA_VICTORIA,DISTRITO_28,9
1,72,35,31,2,2,35,43.06%,2.78%,2.78%,48.61%,Esc. Republica Del Peru,KANTUTANI_SAN_JORGE,DISTRITO_17,8
1,160,29,56,1,6,63,35.00%,0.63%,3.75%,39.38%,Col. Felipe 2do. Guzman,MIRAFLORES,DISTRITO_4,6
1,177,59,49,3,7,59,27.68%,1.69%,3.95%,33.33%,Col. Marien Garten,MUNAYPATA,DISTRITO_28,9
2,182,0,65,3,1,69,35.71%,1.65%,0.55%,37.91%,Unid. Educ. Raul Salmon De La Barra,TEMBLADERANI20,DISTRITO_20,8
2,188,69,65,1,3,69,34.57%,0.53%,1.60%,36.70%,Col. Marien Garten,MUNAYPATA,DISTRITO_28,9
3,153,0,46,2,1,49,30.07%,1.31%,0.65%,32.03%,Unid. Educ. Raul Salmon De La Barra,TEMBLADERANI20,DISTRITO_20,8
2,128,41,44,3,6,53,34.38%,2.34%,4.69%,41.41%,Col. Felipe 2do. Guzman,MIRAFLORES,DISTRITO_4,6
3,177,67,59,0,8,67,33.33%,0.00%,4.52%,37.85%,Col. Marien Garten,MUNAYPATA,DISTRITO_28,9
1,194,0,55,3,4,62,28.35%,1.55%,2.06%,31.96%,Unid. Educ. Raul Salmon De La Barra,TEMBLADERANI20,DISTRITO_20,8
4,183,61,48,6,7,61,26.23%,3.28%,3.83%,33.33%,Col. Marien Garten,MUNAYPATA,DISTRITO_28,9
1,171,82,68,1,13,82,39.77%,0.58%,7.60%,47.95%,Escuela Republica del Brasil,CHALLAPAMPA,DISTRITO_29,9
3,40,18,14,1,3,18,35.00%,2.50%,7.50%,45.00%,Escuela Republica del Brasil,CHALLAPAMPA,DISTRITO_29,9
1,159,62,57,3,2,62,35.85%,1.89%,1.26%,38.99%,Parque Mirador Killi Killi,SAN_JUAN_DE_LAZARETO,DISTRITO_5,6
1,230,76,89,1,6,96,38.70%,0.43%,2.61%,41.74%,Unid. Educ. 20 De Octubre N° 1,PURA_PURA_ALTO,DISTRITO_30,9
1,101,0,34,2,1,37,33.66%,1.98%,0.99%,36.63%,Unidad Educativa Privada La Paz,CATORCE_DE_SEPTIEMBRE,DISTRITO_23,8
1,120,76,32,4,3,39,26.67%,3.33%,2.50%,32.50%,Unidad Educativa Privada La Paz,CATORCE_DE_SEPTIEMBRE,DISTRITO_23,8
2,175,75,62,2,11,75,35.43%,1.14%,6.29%,42.86%,Escuela Republica del Brasil,CHALLAPAMPA,DISTRITO_29,9
3,42,11,10,1,0,11,23.81%,2.38%,0.00%,26.19%,Parque Mirador Killi Killi,SAN_JUAN_DE_LAZARETO,DISTRITO_5,6
2,158,62,52,4,6,62,32.91%,2.53%,3.80%,39.24%,Parque Mirador Killi Killi,SAN_JUAN_DE_LAZARETO,DISTRITO_5,6
2,83,27,26,1,0,27,31.33%,1.20%,0.00%,32.53%,Unid. Educ. 20 De Octubre N° 1,PURA_PURA_ALTO,DISTRITO_30,9
1,217,93,93,2,1,96,42.86%,0.92%,0.46%,44.24%,Escuela Callapa (Plaza De Callapa),CALLAPA,DISTRITO_10,7
2,99,29,26,2,1,29,26.26%,2.02%,1.01%,29.29%,Escuela Callapa (Plaza De Callapa),CALLAPA,DISTRITO_10,7
2,118,50,36,1,13,50,30.51%,0.85%,11.02%,42.37%,U. E. Pantaleon Dalence,TEMBLADERANI20,DISTRITO_20,8
1,173,64,53,4,7,64,30.64%,2.31%,4.05%,36.99%,Colegio Ignacio Calderon,TEMBLADERANI20,DISTRITO_20,8
2,168,0,48,7,3,58,28.57%,4.17%,1.79%,34.52%,Colegio Ignacio Calderon,TEMBLADERANI20,DISTRITO_20,8
1,165,39,45,4,9,58,27.27%,2.42%,5.45%,35.15%,U. E. Pantaleon Dalence,TEMBLADERANI20,DISTRITO_20,8
3,164,70,49,2,19,70,29.88%,1.22%,11.59%,42.68%,Colegio Ignacio Calderon,TEMBLADERANI20,DISTRITO_20,8
3,198,73,63,4,6,73,31.82%,2.02%,3.03%,36.87%,Colegio Sergio Villegas,KUPINI,DISTRITO_10,7
1,202,0,64,1,0,65,31.68%,0.50%,0.00%,32.18%,Colegio Sergio Villegas,KUPINI,DISTRITO_10,7
4,159,65,56,2,7,65,35.22%,1.26%,4.40%,40.88%,Colegio Ignacio Calderon,TEMBLADERANI20,DISTRITO_20,8
2,191,51,48,0,3,51,25.13%,0.00%,1.57%,26.70%,Colegio Sergio Villegas,KUPINI,DISTRITO_10,7
4,196,72,65,0,7,72,33.16%,0.00%,3.57%,36.73%,Colegio Sergio Villegas,KUPINI,DISTRITO_10,7
1,135,58,55,3,4,62,40.74%,2.22%,2.96%,45.93%,Colegio 6 de Junio,ALTO_OBRAJES,DISTRITO_10,7
2,144,58,45,4,9,58,31.25%,2.78%,6.25%,40.28%,Colegio 6 de Junio,ALTO_OBRAJES,DISTRITO_10,7
1,196,49,58,0,7,65,29.59%,0.00%,3.57%,33.16%,Colegio Villarroel (Gran Poder),GRAN_PODER,DISTRITO_22,8
3,148,0,47,1,13,61,31.76%,0.68%,8.78%,41.22%,Colegio 6 de Junio,ALTO_OBRAJES,DISTRITO_10,7
4,145,61,53,4,4,61,36.55%,2.76%,2.76%,42.07%,Colegio 6 de Junio,ALTO_OBRAJES,DISTRITO_10,7
7,109,57,44,3,10,57,40.37%,2.75%,9.17%,52.29%,Colegio 6 de Junio,ALTO_OBRAJES,DISTRITO_10,7
5,98,32,28,0,4,32,28.57%,0.00%,4.08%,32.65%,Colegio Sergio Villegas,KUPINI,DISTRITO_10,7
5,131,56,51,3,3,57,38.93%,2.29%,2.29%,43.51%,Colegio 6 de Junio,ALTO_OBRAJES,DISTRITO_10,7
6,117,0,40,2,7,49,34.19%,1.71%,5.98%,41.88%,Colegio 6 de Junio,ALTO_OBRAJES,DISTRITO_10,7
5,25,12,10,0,2,12,40.00%,0.00%,8.00%,48.00%,Col. Experimental Hugo Davila,MIRAFLORES,DISTRITO_4,6
1,129,0,56,2,4,62,43.41%,1.55%,3.10%,48.06%,Col. Experimental Hugo Davila,MIRAFLORES,DISTRITO_4,6
1,136,61,52,7,2,61,38.24%,5.15%,1.47%,44.85%,Complejo Deportivo San Luis,SOPOCACHI_ALTO_21,DISTRITO_21,8
2,154,53,55,3,10,68,35.71%,1.95%,6.49%,44.16%,Col. Experimental Hugo Davila,MIRAFLORES,DISTRITO_4,6
4,144,55,50,5,7,62,34.72%,3.47%,4.86%,43.06%,Col. Experimental Hugo Davila,MIRAFLORES,DISTRITO_4,6
1,163,65,55,3,7,65,33.74%,1.84%,4.29%,39.88%,Dir. Distrital de Educación,SANTA_BARBARA,DISTRITO_3,9
3,155,71,61,2,8,71,39.35%,1.29%,5.16%,45.81%,Col. Experimental Hugo Davila,MIRAFLORES,DISTRITO_4,6
1,162,66,55,4,7,66,33.95%,2.47%,4.32%,40.74%,Unidad Educativa Cristiana Vida Nueva,VILLA_COPACABANA,DISTRITO_7,6
2,152,76,63,4,9,76,41.45%,2.63%,5.92%,50.00%,Dir. Distrital de Educación,SANTA_BARBARA,DISTRITO_3,9
2,154,48,48,1,5,54,31.17%,0.65%,3.25%,35.06%,Unidad Educativa Cristiana Vida Nueva,VILLA_COPACABANA,DISTRITO_7,6
1,164,85,58,3,10,71,35.37%,1.83%,6.10%,43.29%,Col. San Martin,BELEN,DISTRITO_22,8
1,182,64,58,2,4,64,31.87%,1.10%,2.20%,35.16%,Esc. Gral. Jose Manuel Pando,OBISPO_INDABURO,DISTRITO_23,8
3,95,43,38,0,6,44,40.00%,0.00%,6.32%,46.32%,Unidad Educativa Cristiana Vida Nueva,VILLA_COPACABANA,DISTRITO_7,6
1,81,47,43,1,5,49,53.09%,1.23%,6.17%,60.49%,U.E. Carlos Salinas,SANTA_BARBARA,DISTRITO_3,9
1,164,66,56,5,5,66,34.15%,3.05%,3.05%,40.24%,Col. Maria Auxiliadora,BELEN,DISTRITO_22,8
1,177,72,62,4,6,72,35.03%,2.26%,3.39%,40.68%,Colegio Nuestra Señora de Fatima,LAS_DELICIAS,DISTRITO_6,6
2,174,73,63,0,11,74,36.21%,0.00%,6.32%,42.53%,Col. San Martin,BELEN,DISTRITO_22,8
2,85,0,28,0,2,30,32.94%,0.00%,2.35%,35.29%,Esc. Gral. Jose Manuel Pando,OBISPO_INDABURO,DISTRITO_23,8
2,210,74,63,4,7,74,30.00%,1.90%,3.33%,35.24%,Colegio Nuestra Señora de Fatima,LAS_DELICIAS,DISTRITO_6,6
2,155,66,53,4,11,68,34.19%,2.58%,7.10%,43.87%,Col. Maria Auxiliadora,BELEN,DISTRITO_22,8
3,124,60,50,1,9,60,40.32%,0.81%,7.26%,48.39%,Colegio Dora Schmidt,MIRAFLORES,DISTRITO_4,6
3,24,16,14,0,2,16,58.33%,0.00%,8.33%,66.67%,Col. Maria Auxiliadora,BELEN,DISTRITO_22,8
1,162,77,61,4,12,77,37.65%,2.47%,7.41%,47.53%,Esc. Panama,MIRAFLORES,DISTRITO_4,6
1,157,58,52,3,7,62,33.12%,1.91%,4.46%,39.49%,Colegio Dora Schmidt,MIRAFLORES,DISTRITO_4,6
2,152,0,52,2,13,67,34.21%,1.32%,8.55%,44.08%,Esc. Panama,MIRAFLORES,DISTRITO_4,6
2,142,67,51,5,13,69,35.92%,3.52%,9.15%,48.59%,Colegio Dora Schmidt,MIRAFLORES,DISTRITO_4,6
3,133,59,51,1,8,60,38.35%,0.75%,6.02%,45.11%,Esc. Panama,MIRAFLORES,DISTRITO_4,6
1,190,0,65,0,4,69,34.21%,0.00%,2.11%,36.32%,Unid. Educ. Jaime Escalante,TACAGUA,DISTRITO_19,8
2,187,0,69,1,1,71,36.90%,0.53%,0.53%,37.97%,Unid. Educ. Jaime Escalante,TACAGUA,DISTRITO_19,8
3,199,0,80,3,3,86,40.20%,1.51%,1.51%,43.22%,Unid. Educ. Jaime Escalante,TACAGUA,DISTRITO_19,8
1,151,79,55,8,16,79,36.42%,5.30%,10.60%,52.32%,Escuela Agustin Aspiazu,SOPOCACHI_BAJO,DISTRITO_17,8
4,96,30,28,1,1,30,29.17%,1.04%,1.04%,31.25%,Unid. Educ. Jaime Escalante,TACAGUA,DISTRITO_19,8
1,101,0,41,1,4,46,40.59%,0.99%,3.96%,45.54%,Escuela Juan Pablo II,SEGUENCOMA_ALTO,DISTRITO_16,7
1,164,60,45,5,12,62,27.44%,3.05%,7.32%,37.80%,Colegio German Busch,SAN_SEBASTIAN,DISTRITO_29,9
2,122,57,48,1,7,56,39.34%,0.82%,5.74%,45.90%,Escuela Juan Pablo II,SEGUENCOMA_ALTO,DISTRITO_16,7
2,155,82,61,8,13,82,39.35%,5.16%,8.39%,52.90%,Escuela Agustin Aspiazu,SOPOCACHI_BAJO,DISTRITO_17,8
3,63,27,22,2,3,27,34.92%,3.17%,4.76%,42.86%,Escuela Juan Pablo II,SEGUENCOMA_ALTO,DISTRITO_16,7
2,160,71,60,3,8,71,37.50%,1.88%,5.00%,44.38%,Colegio German Busch,SAN_SEBASTIAN,DISTRITO_29,9
3,105,56,49,4,3,56,46.67%,3.81%,2.86%,53.33%,Escuela Agustin Aspiazu,SOPOCACHI_BAJO,DISTRITO_17,8
3,71,7,23,0,2,25,32.39%,0.00%,2.82%,35.21%,Colegio German Busch,SAN_SEBASTIAN,DISTRITO_29,9
1,179,67,73,2,1,76,40.78%,1.12%,0.56%,42.46%,Sede Social Caja Ferroviaria,SAN_LORENZO,DISTRITO_30,9
3,65,33,26,2,5,33,40.00%,3.08%,7.69%,50.77%,Instituto Americano (Sopocachi Bajo 21),SOPOCACHI_BAJO_21,DISTRITO_17,8
2,151,70,56,2,12,70,37.09%,1.32%,7.95%,46.36%,Instituto Americano (Sopocachi Bajo 21),SOPOCACHI_BAJO_21,DISTRITO_17,8
1,168,72,60,2,10,72,35.71%,1.19%,5.95%,42.86%,Col. San Francisco,ROSARIO,DISTRITO_22,8
1,161,0,60,2,7,69,37.27%,1.24%,4.35%,42.86%,Esc. San Jose,LLOJETA_BAJO,DISTRITO_18,8
1,154,51,47,3,10,60,30.52%,1.95%,6.49%,38.96%,Instituto Americano (Sopocachi Bajo 21),SOPOCACHI_BAJO_21,DISTRITO_17,8
2,66,27,26,0,0,26,39.39%,0.00%,0.00%,39.39%,Sede Social Caja Ferroviaria,SAN_LORENZO,DISTRITO_30,9
2,188,67,54,1,12,67,28.72%,0.53%,6.38%,35.64%,Esc. San Jose,LLOJETA_BAJO,DISTRITO_18,8
2,80,0,30,3,5,38,37.50%,3.75%,6.25%,47.50%,Col. San Francisco,ROSARIO,DISTRITO_22,8
3,160,0,50,2,8,60,31.25%,1.25%,5.00%,37.50%,Esc. San Jose,LLOJETA_BAJO,DISTRITO_18,8
4,81,0,20,2,4,26,24.69%,2.47%,4.94%,32.10%,Esc. San Jose,LLOJETA_BAJO,DISTRITO_18,8
1,161,63,57,4,4,65,35.40%,2.48%,2.48%,40.37%,Col. Canada,VILLA_NUEVO_POTOSI,DISTRITO_24,8
1,209,0,67,0,2,69,32.06%,0.00%,0.96%,33.01%,Esc. Santa Rosa De Lima,OVEJUYO,DISTRITO_14,7
2,188,72,69,1,3,73,36.70%,0.53%,1.60%,38.83%,Col. Canada,VILLA_NUEVO_POTOSI,DISTRITO_24,8
1,151,63,49,2,11,62,32.45%,1.32%,7.28%,41.06%,Escuela Superior de Formación de Maestros Simon Bolivar,IV_CENTENARIO,DISTRITO_8,6
2,157,0,61,2,5,68,38.85%,1.27%,3.18%,43.31%,Escuela Superior de Formación de Maestros Simon Bolivar,IV_CENTENARIO,DISTRITO_8,6
